3,2,2,6,2,2,2,6,32
2,2,2,2,2,9,2,2,32
3,10,3,3,3,7,11,4,32
6,1,5,2,3,2,3,2,32
5,5,1,1,7,6,3,6,32
3,1,1,1,1,6,6,6,32
6,6,6,6,6,3,3,3,32
7,7,7,5,4,3,3,3,32
7,3,6,1,5,5,6,3,25
7,5,5,5,5,4,4,3,25
3,4,1,7,7,3,1,3,32
3,6,4,6,6,6,6,12,32
6,1,3,2,2,2,2,6,32
5,3,3,3,3,1,1,2,32
1,1,1,6,6,6,6,6,32
6,6,6,6,6,6,6,6,32
6,6,6,6,3,3,3,3,32
3,3,7,7,7,7,7,7,32
7,7,2,2,6,5,5,5,32
5,5,4,7,2,3,5,5,32
8,5,7,3,13,3,2,7,25
4,3,6,6,5,7,2,2,34
3,6,3,3,9,5,1,1,25
1,1,10,1,1,1,1,2,25
1,6,6,6,6,6,6,6,32
6,6,6,6,9,6,12,6,32
3,3,7,7,7,5,1,1,25
1,1,1,1,1,1,2,6,32
3,6,6,6,6,3,7,7,25
7,7,7,2,2,2,2,6,32
2,5,11,5,5,5,5,4,32
4,4,4,4,4,4,4,4,25
1,6,3,3,7,7,3,5,32
4,5,3,1,1,14,3,1,32
1,3,3,3,1,10,14,6,25
6,9,6,6,3,3,7,7,25
7,1,6,2,6,8,1,1,25
4,3,11,1,2,5,3,4,34
6,4,7,1,2,3,5,3,32
6,1,3,7,6,5,5,6,25
3,5,2,3,4,5,1,2,25
2,2,2,1,1,6,6,2,24
6,6,8,4,1,1,2,1,32
3,1,1,1,2,2,3,3,25
2,6,4,5,5,5,5,5,25
5,5,6,1,5,1,4,2,25
6,2,2,2,6,10,2,4,32
2,6,2,6,2,2,4,2,32
3,4,4,4,2,6,6,1,25
3,2,4,2,2,2,2,2,32
6,2,2,6,6,3,6,2,32
7,3,9,4,2,2,5,3,25
4,3,3,5,12,3,5,5,25
4,3,3,7,5,1,1,1,25
1,1,1,5,6,2,2,2,25
2,2,2,2,2,2,2,4,32
9,2,2,2,6,6,6,3,33
5,12,10,2,3,3,5,3,32
1,1,3,7,1,1,12,1,25
5,10,3,3,7,7,1,1,25
7,11,3,4,3,5,5,3,25
1,3,3,5,4,5,3,3,32
3,7,3,3,5,4,1,1,32
7,7,3,6,6,3,5,3,32
6,6,6,3,3,3,5,3,32
5,5,6,6,1,1,1,1,32
1,1,2,1,6,6,6,14,32
6,5,3,6,6,6,6,6,32
6,6,6,6,6,6,3,3,32
3,3,3,3,3,3,3,3,32
7,7,7,7,7,7,7,7,32
7,7,3,3,3,7,7,3,32
7,9,2,6,6,2,5,5,32
5,5,5,5,4,4,3,3,32
5,5,3,2,5,7,7,5,25
3,5,5,3,7,2,2,3,25
5,8,10,10,10,2,10,10,25
10,14,1,1,7,7,7,1,25
1,2,1,3,5,5,6,1,32
5,3,7,5,6,3,7,5,32
4,3,6,1,1,3,3,3,32
3,3,5,3,5,7,3,6,32
4,5,5,5,1,7,3,5,32
5,5,6,4,3,4,7,3,25
6,6,2,4,2,6,8,6,33
6,4,3,5,5,2,6,6,32
6,1,1,3,7,5,6,2,32
2,8,2,1,1,1,1,1,25
1,2,1,2,2,5,5,8,25
1,1,1,1,1,1,7,2,25
2,6,2,2,2,2,6,2,32
2,2,2,2,2,6,2,2,32
3,6,6,4,3,3,2,3,32
3,7,4,4,3,6,5,2,25
3,6,7,5,3,3,3,3,32
3,5,3,3,7,5,2,3,25
3,4,3,3,3,7,1,5,32
1,1,1,7,7,3,5,3,32
3,3,6,4,3,3,4,3,25
3,7,6,10,5,4,2,6,32
6,3,6,2,4,2,2,2,32
3,7,3,4,3,3,3,3,32
12,3,3,3,2,6,1,5,32
3,6,4,2,2,6,6,2,21
3,5,2,6,6,6,2,6,32
6,12,5,10,7,6,3,3,25
2,6,5,6,2,9,3,1,32
2,3,3,2,5,5,6,3,32
2,3,3,9,2,3,5,9,32
3,3,5,4,4,3,3,3,25
3,4,4,4,4,4,4,3,25
3,3,3,4,3,2,5,3,25
3,2,2,2,3,9,7,2,32
3,2,2,2,2,5,3,5,32
6,3,5,9,10,3,4,5,32
3,5,2,3,3,3,7,2,32
2,2,5,2,7,3,8,7,32
2,5,3,2,7,4,3,5,32
7,6,3,2,5,5,5,3,32
2,6,5,3,3,9,3,2,32
2,2,4,5,3,2,2,5,32
2,4,3,7,4,3,2,4,32
4,7,2,4,3,4,2,7,32
6,3,6,4,4,4,3,3,25
3,2,6,5,3,5,3,7,32
4,2,5,3,6,4,2,2,32
2,2,8,6,5,7,5,4,32
2,3,3,7,4,9,2,2,32
2,6,5,3,4,2,2,3,32
3,2,6,3,5,5,3,7,32
2,4,3,3,2,2,5,3,32
6,4,5,7,3,3,3,6,32
5,7,4,2,5,2,10,4,32
3,7,3,3,3,3,3,2,25
7,4,9,2,2,5,3,3,32
3,2,5,5,3,3,2,2,33
4,5,10,11,3,12,3,2,32
6,3,3,4,2,7,2,10,32
3,5,7,6,2,3,3,3,32
5,2,3,3,3,3,7,4,32
9,2,2,3,6,5,2,4,32
12,5,3,8,3,2,2,3,32
6,4,9,3,4,3,2,7,32
12,5,11,3,14,4,2,2,32
3,2,7,3,2,3,5,5,32
10,2,2,6,5,7,3,5,32
6,3,3,1,2,6,3,6,32
2,6,5,3,4,4,2,2,32
2,12,7,5,3,2,3,2,32
3,2,3,5,3,7,3,5,32
3,3,3,5,3,4,3,3,32
2,5,3,2,2,5,2,3,32
7,2,2,6,12,3,4,2,32
5,3,4,2,2,10,5,3,32
3,5,5,6,7,2,7,9,33
3,4,3,5,3,3,2,10,21
2,2,2,5,3,2,3,4,32
5,2,3,5,1,4,2,6,32
2,12,3,3,6,6,2,8,32
9,4,2,2,2,7,3,2,32
3,4,2,6,1,4,1,6,26
5,1,1,3,6,4,5,3,25
4,4,7,3,12,3,5,3,32
2,2,2,3,5,5,10,3,32
1,6,6,2,2,5,3,7,32
5,6,5,6,5,1,4,6,32
3,8,7,2,5,4,1,3,32
3,3,3,3,4,3,3,4,25
4,3,3,3,3,3,2,6,21
6,4,6,6,1,6,3,5,25
3,3,3,3,3,3,7,3,25
6,5,3,4,1,1,4,3,25
4,3,7,1,3,3,3,3,25
1,1,3,5,7,6,3,3,25
5,5,1,3,3,5,3,3,25
6,5,7,6,6,3,7,4,32
4,4,7,4,4,4,4,4,34
4,3,6,3,6,3,3,3,25
3,2,6,6,5,8,4,4,32
7,5,5,5,5,3,3,3,24
3,5,10,3,3,5,3,5,25
3,7,3,5,3,4,5,5,25
5,3,3,7,3,3,6,5,25
5,5,6,6,3,10,3,3,25
3,5,5,6,5,5,5,3,25
3,7,5,3,3,3,7,5,25
7,5,5,5,3,12,7,3,25
3,6,6,6,1,1,1,6,25
5,6,7,7,5,7,6,1,25
3,3,2,6,3,3,3,3,25
2,1,1,1,6,12,7,7,25
7,2,1,5,4,4,4,3,25
3,5,1,1,3,7,3,3,25
3,3,3,7,7,2,6,2,25
5,5,3,6,7,7,5,6,25
3,3,3,3,6,5,1,4,25
2,2,2,2,6,2,2,2,33
7,3,6,3,3,6,6,2,32
7,3,6,3,2,6,6,2,32
5,6,3,1,3,2,7,3,32
6,7,4,5,3,6,7,4,25
3,3,5,5,4,5,3,5,32
3,1,3,3,3,1,5,1,25
4,1,6,7,7,4,6,3,25
5,5,3,1,1,6,7,6,32
6,3,3,7,6,6,5,3,32
6,3,4,4,1,6,3,6,32
3,3,7,3,5,3,3,7,25
7,6,6,5,3,4,1,3,25
6,3,3,3,3,4,5,4,32
3,3,3,3,3,4,7,4,33
3,6,1,4,6,6,3,3,32
4,7,3,5,3,3,3,3,32
3,7,3,3,3,7,6,6,32
1,1,6,6,6,6,6,6,32
2,6,3,3,3,3,7,7,25
7,7,5,5,5,1,6,1,25
1,1,6,3,3,3,3,3,25
3,3,3,1,1,6,6,6,32
3,3,7,3,2,6,3,5,32
6,10,4,6,6,3,7,7,32
5,5,5,7,3,3,4,3,32
6,5,3,1,7,6,3,5,32
5,4,6,5,1,5,7,3,32
4,1,3,3,10,3,3,4,25
1,3,3,6,4,3,5,1,25
6,1,3,3,6,6,11,7,32
4,9,7,3,3,3,3,3,32
1,1,4,4,3,5,6,3,32
3,7,3,1,1,3,3,3,32
3,3,7,5,3,6,5,1,32
3,3,4,2,1,2,3,3,32
3,6,7,1,7,4,5,3,32
4,7,4,3,3,8,3,4,34
4,4,4,7,5,7,7,1,33
7,1,3,3,3,3,3,3,32
7,4,1,14,3,6,6,6,32
6,3,7,4,6,6,6,6,32
6,6,6,6,2,7,7,7,32
7,7,7,4,3,5,6,1,32
5,3,3,3,7,12,1,1,25
4,4,3,1,3,1,3,5,32
1,1,6,3,6,6,6,6,32
9,6,6,6,5,5,5,5,32
6,2,6,2,7,7,7,3,32
3,3,3,6,6,6,6,6,32
6,6,3,3,3,3,3,5,25
7,3,5,5,3,3,2,3,25
7,6,3,5,6,7,5,5,25
3,5,4,5,3,7,6,3,25
7,7,7,7,2,6,2,5,32
3,5,3,1,1,4,9,4,32
2,7,5,4,9,5,5,11,25
4,7,4,5,3,3,3,3,21
3,2,6,5,1,3,7,3,32
4,4,1,3,3,3,4,5,32
4,3,3,5,6,6,6,14,32
6,6,6,6,6,1,1,1,25
1,9,9,2,2,2,2,5,32
3,3,3,5,1,1,1,1,32
1,1,1,1,1,6,6,6,32
3,3,3,3,2,5,5,5,32
5,5,6,7,3,7,4,5,32
3,3,3,5,5,12,12,12,32
12,6,5,5,3,12,14,12,32
5,8,10,12,12,6,12,12,32
7,5,7,7,7,7,3,3,32
3,6,10,2,3,3,4,7,32
2,1,5,5,1,3,5,4,33
9,6,2,2,2,2,3,2,32
7,3,3,5,5,2,9,7,32
3,6,4,2,4,5,5,3,33
4,10,7,3,6,3,1,3,21
1,3,7,3,2,10,3,7,25
3,3,3,7,3,3,5,3,32
3,3,5,5,7,3,3,3,32
7,7,3,3,5,1,2,6,32
3,3,3,4,9,3,3,3,33
6,5,5,5,6,5,12,3,25
6,7,3,7,5,7,3,3,25
4,3,2,3,6,3,5,1,32
7,3,5,5,3,3,1,3,25
3,3,3,5,3,3,3,3,25
4,5,10,3,7,6,3,2,25
3,1,2,2,3,3,3,7,25
3,3,3,6,6,3,5,5,25
5,5,3,3,3,2,3,3,25
5,3,3,7,8,3,7,7,25
3,3,3,1,5,5,5,3,25
7,3,3,3,5,6,5,6,32
5,6,5,12,10,3,3,7,32
3,4,7,5,1,4,6,3,25
4,4,3,4,4,7,7,7,34
3,10,6,3,3,6,3,3,32
6,6,3,3,6,3,1,3,32
3,3,5,3,3,1,3,4,32
1,1,6,6,3,3,3,3,32
3,5,3,5,1,1,5,8,32
3,6,3,6,5,6,3,2,32
3,1,1,2,1,4,2,6,25
1,7,6,2,2,3,2,2,32
6,3,3,5,3,1,3,6,32
5,1,1,1,1,6,3,3,32
5,3,5,5,6,3,3,1,32
7,3,5,1,3,5,2,5,25
7,1,5,5,6,4,3,2,25
2,2,7,3,6,8,5,4,32
3,7,3,3,3,3,5,4,25
5,7,3,3,2,3,3,3,25
3,3,6,8,8,5,5,5,32
3,5,3,3,3,3,3,3,32
6,3,3,10,5,5,5,5,25
8,3,1,5,6,5,3,3,25
3,3,5,3,6,5,5,3,25
5,3,5,3,7,3,3,6,32
4,10,4,3,3,7,5,3,32
3,3,6,2,6,3,3,5,32
3,10,3,7,3,3,5,5,32
4,5,10,3,2,6,7,3,32
4,1,2,7,4,3,3,7,25
7,6,7,6,1,10,2,2,32
3,6,5,5,5,1,3,3,32
5,3,5,3,6,3,3,4,25
3,1,6,6,3,3,1,5,32
8,5,1,3,3,3,3,1,32
3,5,5,3,6,3,3,3,32
1,4,7,4,5,3,1,4,25
3,7,3,7,1,3,8,7,32
14,3,1,3,4,3,1,3,32
7,3,4,7,3,3,4,5,32
10,3,7,5,3,3,3,3,25
3,3,3,7,3,7,3,3,18
7,7,5,1,5,7,5,5,18
3,3,5,3,5,6,3,5,18
3,7,3,3,3,5,3,3,18
3,3,3,5,3,7,3,5,32
3,6,6,3,4,3,3,3,32
3,5,5,5,3,7,3,3,32
1,5,7,6,1,3,3,1,25
6,5,7,2,5,6,3,1,25
3,3,3,7,3,3,4,3,18
4,2,4,3,2,4,2,3,25
4,5,1,3,7,7,2,3,25
3,3,3,3,7,5,3,3,25
3,3,12,5,5,2,7,3,25
6,3,3,1,5,5,5,3,32
3,11,3,3,2,5,7,5,25
3,3,7,5,3,3,4,3,25
7,3,3,7,3,4,2,2,25
4,3,7,2,6,6,4,4,25
3,7,2,3,9,9,3,3,24
5,3,2,4,3,2,8,3,32
3,7,3,4,3,3,6,3,32
1,3,6,2,3,3,3,2,25
4,2,14,2,5,11,1,4,25
1,3,4,2,2,2,3,5,32
8,6,2,6,2,6,2,6,32
3,2,2,3,5,1,6,4,32
3,4,5,6,1,7,5,2,32
5,2,3,3,3,6,3,7,32
3,7,6,6,3,5,3,7,25
3,6,3,7,5,7,3,7,25
1,6,6,6,2,6,2,4,25
2,2,6,6,5,5,5,3,32
4,1,3,3,7,8,3,3,32
6,2,5,4,6,1,1,9,32
6,3,3,5,8,4,1,3,32
6,3,2,6,6,4,2,6,32
2,10,5,1,2,5,2,3,32
3,3,2,4,7,7,7,5,25
6,1,1,2,1,2,1,11,32
1,2,6,2,1,8,1,2,25
7,5,7,5,3,3,6,2,26
4,1,6,6,12,2,5,5,26
6,3,6,3,3,6,3,3,32
3,2,3,3,5,3,1,6,32
3,6,6,6,2,3,2,6,32
3,3,1,6,5,6,12,1,32
2,2,2,2,2,4,2,6,25
1,4,6,5,1,1,2,2,32
2,6,6,2,2,2,6,6,32
2,2,2,6,8,6,6,2,32
2,6,2,2,6,1,1,6,32
4,1,2,1,1,2,2,4,32
6,5,10,6,2,2,6,6,32
2,2,2,2,2,2,2,6,32
6,2,6,2,6,14,14,4,32
2,2,2,2,2,2,13,2,32
2,2,2,2,2,2,4,5,32
3,5,7,3,4,5,5,1,25
5,6,6,3,5,3,3,7,25
3,6,3,3,5,5,6,3,32
4,1,3,3,5,3,3,3,32
6,3,4,1,7,4,3,1,32
3,1,5,3,3,5,5,5,32
3,6,6,6,2,2,3,6,32
11,3,3,3,3,5,1,2,25
3,4,5,3,7,3,6,7,25
6,5,3,5,1,5,7,6,32
3,5,5,7,1,3,5,7,32
3,3,2,6,2,2,2,6,25
6,5,6,2,3,6,2,2,25
5,3,3,3,3,8,1,3,32
2,9,6,3,6,10,6,3,32
2,5,5,3,3,5,3,3,25
5,5,3,6,3,1,7,4,25
3,3,7,4,4,3,4,1,25
7,6,5,5,2,6,2,5,32
8,3,5,2,3,3,4,2,32
6,6,3,5,5,9,1,2,32
3,6,3,6,3,5,3,1,32
3,1,5,10,2,5,6,2,32
6,7,3,6,3,6,6,3,32
3,14,3,3,3,3,3,1,32
7,4,3,3,1,3,3,3,25
2,6,3,3,3,1,1,3,32
4,1,5,1,3,1,7,6,32
4,3,6,7,7,7,7,5,32
3,3,1,2,2,3,3,3,25
6,2,3,6,5,4,1,3,32
3,6,7,3,3,6,7,5,25
2,3,4,3,3,7,6,6,25
6,5,5,3,3,8,7,5,25
7,1,3,5,5,5,3,7,25
3,6,7,3,1,7,6,6,32
6,6,7,3,3,3,5,6,32
3,3,7,6,1,1,7,3,32
6,3,6,2,3,2,6,3,25
7,3,7,7,6,3,4,3,32
4,3,3,7,3,6,3,1,25
3,3,3,6,3,3,3,3,32
4,3,1,1,3,4,3,2,32
7,7,3,6,3,3,4,5,25
3,3,1,6,7,7,3,5,32
1,3,5,3,7,3,1,6,25
3,4,4,3,3,1,3,2,32
6,6,7,3,3,5,1,6,32
14,3,6,6,1,5,4,3,25
3,3,3,4,1,3,3,3,32
4,2,6,3,5,5,3,3,32
1,1,5,3,7,7,5,5,25
3,3,3,5,5,4,5,3,32
3,3,3,10,2,4,4,4,25
7,4,4,3,4,4,3,5,21
4,3,5,7,7,4,4,4,32
6,5,7,3,7,3,1,1,32
3,10,3,3,5,3,3,3,32
7,3,4,3,3,3,3,2,32
3,3,7,1,3,3,5,1,25
3,4,7,4,3,4,7,3,25
3,6,6,3,3,7,7,1,25
3,1,3,1,3,3,3,3,32
7,1,3,5,5,5,5,4,32
3,5,6,8,7,3,3,3,25
3,10,5,3,5,7,3,10,25
3,7,6,3,4,12,1,1,25
10,14,4,5,3,3,6,8,25
3,6,7,5,7,4,4,5,26
3,5,1,6,3,3,7,7,32
4,3,3,3,5,3,3,4,25
5,5,6,5,1,2,2,6,32
2,2,2,6,6,7,2,6,32
5,6,5,3,7,3,6,3,25
2,2,6,6,2,2,5,6,32
6,6,2,4,2,4,2,1,32
14,2,10,10,4,2,10,6,32
3,3,4,2,6,2,6,6,32
3,3,5,9,6,3,3,6,32
3,3,3,4,7,3,3,7,25
4,5,4,1,1,3,3,3,25
5,5,1,3,5,5,5,9,25
7,12,1,3,1,7,3,3,32
3,3,3,3,6,7,3,6,32
3,4,3,6,3,7,5,3,32
6,6,4,4,4,6,3,4,32
4,6,4,3,4,1,3,3,32
7,3,3,5,3,4,4,3,32
3,3,7,3,3,7,5,3,25
7,3,3,6,1,3,3,6,32
6,5,3,5,5,5,5,7,32
6,2,2,2,2,6,6,5,32
6,1,6,1,1,4,6,6,32
6,4,6,2,3,6,2,6,25
2,2,5,6,3,2,2,2,32
1,7,7,7,7,7,7,7,32
14,6,6,3,3,6,1,5,25
1,6,3,2,2,3,7,3,25
5,3,3,2,5,2,6,2,32
2,6,6,3,2,6,2,2,32
7,1,5,3,2,2,6,4,25
6,2,3,1,3,3,7,5,33
3,6,5,5,1,3,3,3,25
3,3,3,4,4,4,4,6,25
6,6,6,6,3,5,3,1,32
2,3,5,7,3,3,6,6,25
5,6,5,2,5,3,3,3,32
3,3,5,5,4,5,3,6,25
3,3,6,3,3,4,5,5,25
5,3,2,3,7,5,5,3,25
7,1,1,1,1,6,6,6,32
6,1,6,7,7,4,5,3,32
3,3,3,6,6,6,7,7,32
7,4,3,3,1,6,5,3,32
1,6,7,3,2,6,8,5,32
5,5,3,5,5,3,5,5,32
3,3,2,5,3,3,1,3,32
5,7,2,3,1,3,6,3,32
5,5,1,3,5,3,3,6,25
3,5,4,3,1,7,1,1,32
6,3,1,5,6,6,3,1,32
3,6,3,3,4,5,2,2,32
7,8,5,4,3,6,2,1,25
4,4,4,2,14,5,5,3,21
5,5,2,2,6,3,7,5,9
4,5,4,7,1,7,6,3,25
5,3,2,3,6,6,2,3,32
6,2,6,5,3,3,3,3,32
4,4,4,3,3,3,7,5,21
4,4,3,2,4,2,1,2,21
7,1,1,3,3,5,6,7,25
1,4,1,2,3,4,2,2,25
2,2,3,3,3,3,2,11,32
3,5,2,2,6,2,6,1,32
6,3,3,3,3,1,1,1,25
1,5,3,3,3,1,6,2,32
5,2,7,3,3,3,7,2,25
7,3,6,6,3,3,7,1,25
1,2,2,1,3,4,4,3,25
6,3,5,6,2,3,6,3,32
4,6,3,5,3,3,5,4,9
4,5,3,9,4,2,4,4,25
3,7,3,7,6,2,4,14,9
7,7,8,14,2,3,5,3,9
5,7,3,3,7,3,14,4,9
11,5,11,7,11,7,14,6,9
5,3,3,6,3,4,6,3,9
4,8,5,7,5,3,10,3,9
7,5,4,2,5,1,3,3,25
11,3,7,6,4,6,3,3,25
2,3,10,3,3,3,3,3,32
4,7,7,1,5,5,3,2,26
7,5,5,5,2,5,14,5,9
3,5,5,2,3,3,5,5,9
5,5,3,3,5,4,2,3,9
2,3,5,14,8,3,6,5,9
5,2,4,3,7,2,3,7,9
3,2,3,3,4,3,3,3,9
1,3,3,5,7,5,4,3,18
5,3,1,3,5,7,3,6,32
1,3,3,6,9,5,3,5,32
1,3,7,4,5,1,6,3,32
2,2,6,1,3,12,2,2,32
3,4,2,2,3,3,3,4,9
14,2,3,3,4,3,5,3,9
3,6,6,7,3,1,6,5,32
6,2,3,2,1,1,3,2,32
2,3,6,2,3,4,7,6,32
1,2,2,1,2,14,6,11,25
2,2,2,4,3,3,1,3,9
3,12,3,5,3,1,1,3,25
5,7,7,7,2,7,5,3,25
3,5,2,5,3,9,3,6,25
4,11,5,2,7,3,5,2,9
2,2,5,4,2,6,5,4,9
4,7,3,6,7,3,5,3,25
3,3,3,1,3,1,3,1,25
6,7,3,3,2,3,5,7,25
7,5,3,3,3,3,4,5,25
2,2,6,6,6,6,2,2,9
6,7,7,7,3,6,3,3,24
3,3,6,3,6,3,6,6,33
3,3,2,2,6,2,13,8,9
3,2,3,1,12,2,2,2,9
2,7,2,7,3,3,5,5,9
14,8,6,3,3,7,5,5,9
3,2,5,2,7,3,2,7,9
2,3,8,2,5,2,3,2,9
8,2,6,3,3,7,7,6,9
14,2,5,2,4,8,6,3,9
3,3,6,3,3,5,3,6,9
6,2,2,6,2,6,2,6,32
6,5,3,3,5,5,3,5,9
8,6,2,4,2,3,6,5,9
2,6,5,3,5,5,5,2,9
13,3,3,5,6,3,3,2,9
6,3,1,5,5,6,3,13,9
2,2,6,7,5,6,3,13,9
5,3,7,5,3,2,5,3,9
3,3,7,7,3,3,3,2,32
1,8,1,6,6,6,4,7,32
6,3,3,3,3,7,6,3,25
5,3,3,1,3,4,7,3,25
5,2,6,3,5,8,2,2,25
3,3,2,4,3,5,5,7,25
2,2,2,2,2,2,2,2,32
7,6,1,3,3,2,3,7,32
3,4,3,5,1,2,1,7,25
1,3,3,3,3,3,6,5,32
5,3,6,5,4,3,3,5,32
1,3,3,5,6,3,6,6,25
3,3,5,6,3,6,6,4,32
3,3,3,3,3,3,5,9,32
9,3,3,3,2,2,2,8,32
1,1,3,3,5,4,6,4,32
2,2,6,5,3,3,1,3,32
1,3,5,5,2,3,5,5,32
3,3,7,3,3,5,5,5,25
1,5,2,5,3,5,3,3,32
4,4,4,3,6,3,3,8,34
3,9,3,1,12,3,4,8,32
3,6,3,5,5,3,3,3,25
5,3,3,3,3,3,7,4,32
3,3,3,3,3,4,1,6,25
5,1,7,7,5,5,5,5,25
3,5,7,3,6,1,6,6,25
5,7,3,7,3,3,3,7,25
6,7,7,6,4,4,4,4,25
10,3,1,6,3,3,3,2,25
3,3,2,5,3,6,5,3,25
4,3,8,5,7,7,3,5,33
4,5,1,3,5,1,1,1,25
6,6,6,6,14,6,2,6,25
3,3,3,3,3,3,3,3,25
6,1,3,5,3,3,3,3,25
3,3,7,2,6,6,3,4,25
6,3,4,3,7,3,5,3,25
5,1,5,3,3,3,3,5,25
6,3,3,7,6,3,2,6,32
6,3,4,3,3,5,5,3,25
6,4,3,1,3,3,3,6,25
3,3,1,3,6,7,1,3,32
5,3,3,7,5,4,5,5,33
6,7,4,3,6,3,6,4,32
3,3,3,5,3,3,3,5,25
6,2,3,1,1,7,6,1,32
6,6,3,3,3,3,4,6,32
6,3,6,6,6,3,1,7,32
4,7,7,4,5,3,7,10,32
